C:\Users\user\Desktop\IoT\FLTG-implementation\FL-Byzantine-Library\client.py:43: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.momentum = torch.tensor(torch.zeros_like(flat_model, device=self.device))
number of parameters  0.431 M
Epoch 1 Accuracy 9.8 | Loss: nan | Aggregation time: 0.482
Epoch 2 Accuracy 9.8 | Loss: nan | Aggregation time: 0.896
Epoch 3 Accuracy 9.8 | Loss: nan | Aggregation time: 1.339
Epoch 4 Accuracy 9.8 | Loss: nan | Aggregation time: 1.77
Epoch 5 Accuracy 9.8 | Loss: nan | Aggregation time: 2.172
Epoch 6 Accuracy 9.8 | Loss: nan | Aggregation time: 2.679
Epoch 7 Accuracy 9.8 | Loss: nan | Aggregation time: 3.092
Epoch 8 Accuracy 9.8 | Loss: nan | Aggregation time: 3.54
Epoch 9 Accuracy 9.8 | Loss: nan | Aggregation time: 3.962
Epoch 10 Accuracy 9.8 | Loss: nan | Aggregation time: 4.379
Epoch 11 Accuracy 9.8 | Loss: nan | Aggregation time: 4.829
Epoch 12 Accuracy 9.8 | Loss: nan | Aggregation time: 5.245
Epoch 13 Accuracy 9.8 | Loss: nan | Aggregation time: 5.643
Epoch 14 Accuracy 9.8 | Loss: nan | Aggregation time: 6.109
Epoch 15 Accuracy 9.8 | Loss: nan | Aggregation time: 6.516
Epoch 16 Accuracy 9.8 | Loss: nan | Aggregation time: 6.934
Epoch 17 Accuracy 9.8 | Loss: nan | Aggregation time: 7.423
Epoch 18 Accuracy 9.8 | Loss: nan | Aggregation time: 7.876
Epoch 19 Accuracy 9.8 | Loss: nan | Aggregation time: 8.414
Epoch 20 Accuracy 9.8 | Loss: nan | Aggregation time: 8.868
