Epoch 1 Accuracy 30.7 | Loss: 2.2548 | Aggregation time: 1.38
Epoch 2 Accuracy 50.5 | Loss: 1.869 | Aggregation time: 3.071
Epoch 3 Accuracy 72.3 | Loss: 1.2041 | Aggregation time: 4.705
Epoch 4 Accuracy 75.0 | Loss: 0.7839 | Aggregation time: 6.31
Epoch 5 Accuracy 84.89999999999999 | Loss: 0.6648 | Aggregation time: 7.877
Epoch 6 Accuracy 88.5 | Loss: 0.4002 | Aggregation time: 9.391
Epoch 7 Accuracy 91.8 | Loss: 0.3415 | Aggregation time: 10.897
Epoch 8 Accuracy 90.7 | Loss: 0.3551 | Aggregation time: 12.33
Epoch 9 Accuracy 92.0 | Loss: 0.3261 | Aggregation time: 13.773
Epoch 10 Accuracy 94.1 | Loss: 0.2412 | Aggregation time: 15.165
Epoch 11 Accuracy 93.5 | Loss: 0.2315 | Aggregation time: 16.593
Epoch 12 Accuracy 91.5 | Loss: 0.2325 | Aggregation time: 18.02
Epoch 13 Accuracy 94.89999999999999 | Loss: 0.228 | Aggregation time: 19.404
Epoch 14 Accuracy 94.5 | Loss: 0.201 | Aggregation time: 20.793
Epoch 15 Accuracy 93.89999999999999 | Loss: 0.1802 | Aggregation time: 22.199
Epoch 16 Accuracy 94.69999999999999 | Loss: 0.1704 | Aggregation time: 23.639
Epoch 17 Accuracy 94.0 | Loss: 0.174 | Aggregation time: 25.018
Epoch 18 Accuracy 95.7 | Loss: 0.1648 | Aggregation time: 26.415
Epoch 19 Accuracy 96.2 | Loss: 0.1477 | Aggregation time: 27.811
Epoch 20 Accuracy 96.5 | Loss: 0.1442 | Aggregation time: 29.233
