Epoch 1 Accuracy 68.60000000000001 | Loss: 1.7241 | Aggregation time: 1.272
Epoch 2 Accuracy 80.2 | Loss: 0.9268 | Aggregation time: 2.515
Epoch 3 Accuracy 94.69999999999999 | Loss: 0.3334 | Aggregation time: 3.759
Epoch 4 Accuracy 96.3 | Loss: 0.1453 | Aggregation time: 5.005
Epoch 5 Accuracy 96.5 | Loss: 0.1136 | Aggregation time: 6.265
Epoch 6 Accuracy 97.3 | Loss: 0.0838 | Aggregation time: 7.535
Epoch 7 Accuracy 97.3 | Loss: 0.0803 | Aggregation time: 8.806
Epoch 8 Accuracy 97.89999999999999 | Loss: 0.0607 | Aggregation time: 10.036
Epoch 9 Accuracy 97.8 | Loss: 0.05 | Aggregation time: 11.292
Epoch 10 Accuracy 97.89999999999999 | Loss: 0.049 | Aggregation time: 12.57
Epoch 11 Accuracy 98.2 | Loss: 0.0484 | Aggregation time: 13.841
Epoch 12 Accuracy 98.2 | Loss: 0.0487 | Aggregation time: 15.102
Epoch 13 Accuracy 98.3 | Loss: 0.0303 | Aggregation time: 16.372
Epoch 14 Accuracy 98.3 | Loss: 0.0316 | Aggregation time: 17.641
Epoch 15 Accuracy 98.3 | Loss: 0.0255 | Aggregation time: 18.898
Epoch 16 Accuracy 98.2 | Loss: 0.0292 | Aggregation time: 20.154
Epoch 17 Accuracy 98.0 | Loss: 0.0289 | Aggregation time: 21.396
Epoch 18 Accuracy 97.89999999999999 | Loss: 0.0384 | Aggregation time: 22.666
Epoch 19 Accuracy 98.4 | Loss: 0.0318 | Aggregation time: 23.931
Epoch 20 Accuracy 98.5 | Loss: 0.0253 | Aggregation time: 25.193
