Epoch 1 Accuracy 60.0 | Loss: 2.162 | Aggregation time: 1.191
Epoch 2 Accuracy 12.0 | Loss: 2.6242 | Aggregation time: 2.381
Epoch 3 Accuracy 13.100000000000001 | Loss: 2.1721 | Aggregation time: 3.533
Epoch 4 Accuracy 37.3 | Loss: 2.2859 | Aggregation time: 4.72
Epoch 5 Accuracy 30.8 | Loss: 2.0173 | Aggregation time: 5.92
Epoch 6 Accuracy 36.3 | Loss: 1.8515 | Aggregation time: 7.125
Epoch 7 Accuracy 22.400000000000002 | Loss: 1.8397 | Aggregation time: 8.339
Epoch 8 Accuracy 51.1 | Loss: 1.7522 | Aggregation time: 9.563
Epoch 9 Accuracy 22.1 | Loss: 1.9661 | Aggregation time: 10.78
Epoch 10 Accuracy 36.5 | Loss: 1.9804 | Aggregation time: 12.017
Epoch 11 Accuracy 28.4 | Loss: 1.9885 | Aggregation time: 13.239
Epoch 12 Accuracy 24.8 | Loss: 1.882 | Aggregation time: 14.463
Epoch 13 Accuracy 19.2 | Loss: 1.9849 | Aggregation time: 15.689
Epoch 14 Accuracy 25.2 | Loss: 2.1127 | Aggregation time: 16.926
Epoch 15 Accuracy 20.9 | Loss: 2.041 | Aggregation time: 18.156
Epoch 16 Accuracy 37.0 | Loss: 1.9563 | Aggregation time: 19.386
Epoch 17 Accuracy 37.1 | Loss: 1.8177 | Aggregation time: 20.604
Epoch 18 Accuracy 50.1 | Loss: 1.597 | Aggregation time: 21.854
Epoch 19 Accuracy 36.1 | Loss: 1.433 | Aggregation time: 23.095
Epoch 20 Accuracy 49.9 | Loss: 1.8249 | Aggregation time: 24.325
