Epoch 1 Accuracy 10.299999999999999 | Loss: 2.2796 | Aggregation time: 0.052
Epoch 2 Accuracy 10.299999999999999 | Loss: 2.2667 | Aggregation time: 0.108
Epoch 3 Accuracy 10.299999999999999 | Loss: 2.2606 | Aggregation time: 0.161
Epoch 4 Accuracy 10.299999999999999 | Loss: 2.2524 | Aggregation time: 0.216
Epoch 5 Accuracy 10.299999999999999 | Loss: 2.246 | Aggregation time: 0.27
Epoch 6 Accuracy 10.299999999999999 | Loss: 2.2418 | Aggregation time: 0.324
Epoch 7 Accuracy 10.299999999999999 | Loss: 2.2395 | Aggregation time: 0.378
Epoch 8 Accuracy 10.299999999999999 | Loss: 2.2343 | Aggregation time: 0.431
Epoch 9 Accuracy 10.299999999999999 | Loss: 2.2323 | Aggregation time: 0.484
Epoch 10 Accuracy 10.299999999999999 | Loss: 2.2298 | Aggregation time: 0.535
Epoch 11 Accuracy 10.299999999999999 | Loss: 2.2281 | Aggregation time: 0.588
Epoch 12 Accuracy 10.299999999999999 | Loss: 2.2269 | Aggregation time: 0.638
Epoch 13 Accuracy 10.299999999999999 | Loss: 2.2241 | Aggregation time: 0.69
Epoch 14 Accuracy 10.299999999999999 | Loss: 2.2242 | Aggregation time: 0.743
Epoch 15 Accuracy 10.299999999999999 | Loss: 2.2205 | Aggregation time: 0.795
Epoch 16 Accuracy 10.299999999999999 | Loss: 2.222 | Aggregation time: 0.848
Epoch 17 Accuracy 10.299999999999999 | Loss: 2.2228 | Aggregation time: 0.901
Epoch 18 Accuracy 10.299999999999999 | Loss: 2.2192 | Aggregation time: 0.952
Epoch 19 Accuracy 10.299999999999999 | Loss: 2.2195 | Aggregation time: 1.006
Epoch 20 Accuracy 10.299999999999999 | Loss: 2.2203 | Aggregation time: 1.057
