Epoch 1 Accuracy 88.9 | Loss: 1.4149 | Aggregation time: 0.086
Epoch 2 Accuracy 94.5 | Loss: 0.2852 | Aggregation time: 0.168
Epoch 3 Accuracy 95.8 | Loss: 0.172 | Aggregation time: 0.247
Epoch 4 Accuracy 96.8 | Loss: 0.1247 | Aggregation time: 0.33
Epoch 5 Accuracy 97.39999999999999 | Loss: 0.1024 | Aggregation time: 0.416
Epoch 6 Accuracy 97.6 | Loss: 0.087 | Aggregation time: 0.5
Epoch 7 Accuracy 97.8 | Loss: 0.0717 | Aggregation time: 0.579
Epoch 8 Accuracy 98.3 | Loss: 0.0653 | Aggregation time: 0.656
Epoch 9 Accuracy 98.5 | Loss: 0.0644 | Aggregation time: 0.723
Epoch 10 Accuracy 98.5 | Loss: 0.0516 | Aggregation time: 0.787
Epoch 11 Accuracy 98.4 | Loss: 0.0487 | Aggregation time: 0.849
Epoch 12 Accuracy 98.6 | Loss: 0.0488 | Aggregation time: 0.91
Epoch 13 Accuracy 98.5 | Loss: 0.045 | Aggregation time: 0.97
Epoch 14 Accuracy 98.7 | Loss: 0.0417 | Aggregation time: 1.031
Epoch 15 Accuracy 98.7 | Loss: 0.0411 | Aggregation time: 1.093
Epoch 16 Accuracy 98.7 | Loss: 0.0369 | Aggregation time: 1.152
Epoch 17 Accuracy 98.9 | Loss: 0.0344 | Aggregation time: 1.211
Epoch 18 Accuracy 98.8 | Loss: 0.0341 | Aggregation time: 1.271
Epoch 19 Accuracy 98.7 | Loss: 0.0332 | Aggregation time: 1.332
Epoch 20 Accuracy 98.9 | Loss: 0.0312 | Aggregation time: 1.393
