Epoch 1 Accuracy 84.39999999999999 | Loss: 0.9059 | Aggregation time: 1.253
Epoch 2 Accuracy 96.0 | Loss: 0.2365 | Aggregation time: 2.509
Epoch 3 Accuracy 97.7 | Loss: 0.0746 | Aggregation time: 3.761
Epoch 4 Accuracy 98.1 | Loss: 0.0398 | Aggregation time: 5.013
Epoch 5 Accuracy 98.3 | Loss: 0.0331 | Aggregation time: 6.266
Epoch 6 Accuracy 98.2 | Loss: 0.0244 | Aggregation time: 7.509
Epoch 7 Accuracy 98.1 | Loss: 0.0214 | Aggregation time: 8.757
Epoch 8 Accuracy 98.3 | Loss: 0.0193 | Aggregation time: 9.993
Epoch 9 Accuracy 98.4 | Loss: 0.0147 | Aggregation time: 11.27
Epoch 10 Accuracy 98.4 | Loss: 0.0174 | Aggregation time: 12.52
Epoch 11 Accuracy 98.3 | Loss: 0.0135 | Aggregation time: 13.772
Epoch 12 Accuracy 98.1 | Loss: 0.0126 | Aggregation time: 15.028
Epoch 13 Accuracy 98.4 | Loss: 0.0121 | Aggregation time: 16.286
Epoch 14 Accuracy 98.1 | Loss: 0.0156 | Aggregation time: 17.542
Epoch 15 Accuracy 98.4 | Loss: 0.0178 | Aggregation time: 18.807
Epoch 16 Accuracy 98.3 | Loss: 0.0153 | Aggregation time: 20.059
Epoch 17 Accuracy 98.4 | Loss: 0.0137 | Aggregation time: 21.285
Epoch 18 Accuracy 98.2 | Loss: 0.0139 | Aggregation time: 22.549
Epoch 19 Accuracy 98.4 | Loss: 0.0126 | Aggregation time: 23.805
Epoch 20 Accuracy 98.4 | Loss: 0.0124 | Aggregation time: 25.063
