Epoch 1 Accuracy 42.4 | Loss: 2.0413 | Aggregation time: 1.223
Epoch 2 Accuracy 44.1 | Loss: 2.2122 | Aggregation time: 2.449
Epoch 3 Accuracy 32.2 | Loss: 2.2374 | Aggregation time: 3.65
Epoch 4 Accuracy 51.4 | Loss: 1.8313 | Aggregation time: 4.845
Epoch 5 Accuracy 71.2 | Loss: 1.3971 | Aggregation time: 6.066
Epoch 6 Accuracy 59.4 | Loss: 1.1357 | Aggregation time: 7.296
Epoch 7 Accuracy 60.8 | Loss: 0.9361 | Aggregation time: 8.51
Epoch 8 Accuracy 56.599999999999994 | Loss: 0.9197 | Aggregation time: 9.709
Epoch 9 Accuracy 64.2 | Loss: 0.8695 | Aggregation time: 10.92
Epoch 10 Accuracy 68.10000000000001 | Loss: 0.7792 | Aggregation time: 12.136
Epoch 11 Accuracy 71.3 | Loss: 0.7826 | Aggregation time: 13.371
Epoch 12 Accuracy 72.5 | Loss: 0.7512 | Aggregation time: 14.598
Epoch 13 Accuracy 68.10000000000001 | Loss: 0.7327 | Aggregation time: 15.81
Epoch 14 Accuracy 68.30000000000001 | Loss: 0.7987 | Aggregation time: 17.028
Epoch 15 Accuracy 70.3 | Loss: 0.7164 | Aggregation time: 18.247
Epoch 16 Accuracy 61.6 | Loss: 0.814 | Aggregation time: 19.464
Epoch 17 Accuracy 71.8 | Loss: 0.8152 | Aggregation time: 20.657
Epoch 18 Accuracy 60.6 | Loss: 0.7782 | Aggregation time: 21.881
Epoch 19 Accuracy 64.9 | Loss: 0.8041 | Aggregation time: 23.099
Epoch 20 Accuracy 74.8 | Loss: 0.7044 | Aggregation time: 24.303
