Epoch 1 Accuracy 19.8 | Loss: 2.1633 | Aggregation time: 0.053
Epoch 2 Accuracy 42.3 | Loss: 1.6552 | Aggregation time: 0.103
Epoch 3 Accuracy 67.80000000000001 | Loss: 0.9316 | Aggregation time: 0.156
Epoch 4 Accuracy 71.89999999999999 | Loss: 0.6131 | Aggregation time: 0.209
Epoch 5 Accuracy 75.1 | Loss: 0.4924 | Aggregation time: 0.261
Epoch 6 Accuracy 74.5 | Loss: 0.4319 | Aggregation time: 0.314
Epoch 7 Accuracy 79.5 | Loss: 0.3913 | Aggregation time: 0.366
Epoch 8 Accuracy 81.89999999999999 | Loss: 0.3947 | Aggregation time: 0.415
Epoch 9 Accuracy 79.0 | Loss: 0.353 | Aggregation time: 0.466
Epoch 10 Accuracy 84.2 | Loss: 0.3073 | Aggregation time: 0.519
Epoch 11 Accuracy 84.6 | Loss: 0.2803 | Aggregation time: 0.569
Epoch 12 Accuracy 84.5 | Loss: 0.3025 | Aggregation time: 0.621
Epoch 13 Accuracy 81.39999999999999 | Loss: 0.2983 | Aggregation time: 0.676
Epoch 14 Accuracy 86.1 | Loss: 0.2704 | Aggregation time: 0.73
Epoch 15 Accuracy 86.5 | Loss: 0.2706 | Aggregation time: 0.784
Epoch 16 Accuracy 83.89999999999999 | Loss: 0.2798 | Aggregation time: 0.836
Epoch 17 Accuracy 86.4 | Loss: 0.2624 | Aggregation time: 0.888
Epoch 18 Accuracy 85.39999999999999 | Loss: 0.2568 | Aggregation time: 0.941
Epoch 19 Accuracy 86.7 | Loss: 0.2606 | Aggregation time: 0.993
Epoch 20 Accuracy 86.6 | Loss: 0.2761 | Aggregation time: 1.045
