Epoch 1 Accuracy 36.7 | Loss: 2.1315 | Aggregation time: 1.415
Epoch 2 Accuracy 36.4 | Loss: 1.9011 | Aggregation time: 2.824
Epoch 3 Accuracy 39.1 | Loss: 1.6556 | Aggregation time: 4.253
Epoch 4 Accuracy 38.9 | Loss: 1.2835 | Aggregation time: 5.671
Epoch 5 Accuracy 46.6 | Loss: 1.1368 | Aggregation time: 7.11
Epoch 6 Accuracy 53.0 | Loss: 1.1133 | Aggregation time: 8.566
Epoch 7 Accuracy 62.8 | Loss: 0.7505 | Aggregation time: 9.974
Epoch 8 Accuracy 66.9 | Loss: 0.5934 | Aggregation time: 11.354
Epoch 9 Accuracy 73.4 | Loss: 0.4334 | Aggregation time: 12.791
Epoch 10 Accuracy 78.3 | Loss: 0.4476 | Aggregation time: 14.237
Epoch 11 Accuracy 78.8 | Loss: 0.3233 | Aggregation time: 15.661
Epoch 12 Accuracy 83.89999999999999 | Loss: 0.26 | Aggregation time: 17.089
Epoch 13 Accuracy 80.9 | Loss: 0.199 | Aggregation time: 18.45
Epoch 14 Accuracy 85.5 | Loss: 0.1465 | Aggregation time: 19.801
Epoch 15 Accuracy 85.5 | Loss: 0.125 | Aggregation time: 21.117
Epoch 16 Accuracy 84.6 | Loss: 0.1307 | Aggregation time: 22.452
Epoch 17 Accuracy 86.0 | Loss: 0.1149 | Aggregation time: 23.784
Epoch 18 Accuracy 86.3 | Loss: 0.1227 | Aggregation time: 25.128
Epoch 19 Accuracy 86.8 | Loss: 0.1053 | Aggregation time: 26.493
Epoch 20 Accuracy 86.2 | Loss: 0.0941 | Aggregation time: 27.829
