Epoch 1 Accuracy 55.400000000000006 | Loss: 1.7972 | Aggregation time: 0.051
Epoch 2 Accuracy 78.3 | Loss: 0.4976 | Aggregation time: 0.103
Epoch 3 Accuracy 83.3 | Loss: 0.2794 | Aggregation time: 0.154
Epoch 4 Accuracy 84.89999999999999 | Loss: 0.2202 | Aggregation time: 0.207
Epoch 5 Accuracy 85.7 | Loss: 0.1761 | Aggregation time: 0.259
Epoch 6 Accuracy 85.9 | Loss: 0.157 | Aggregation time: 0.311
Epoch 7 Accuracy 87.2 | Loss: 0.1293 | Aggregation time: 0.364
Epoch 8 Accuracy 87.2 | Loss: 0.1195 | Aggregation time: 0.418
Epoch 9 Accuracy 87.5 | Loss: 0.1015 | Aggregation time: 0.472
Epoch 10 Accuracy 87.5 | Loss: 0.095 | Aggregation time: 0.529
Epoch 11 Accuracy 88.0 | Loss: 0.085 | Aggregation time: 0.582
Epoch 12 Accuracy 87.8 | Loss: 0.0823 | Aggregation time: 0.636
Epoch 13 Accuracy 88.2 | Loss: 0.0765 | Aggregation time: 0.691
Epoch 14 Accuracy 88.6 | Loss: 0.0753 | Aggregation time: 0.745
Epoch 15 Accuracy 88.3 | Loss: 0.066 | Aggregation time: 0.799
Epoch 16 Accuracy 88.4 | Loss: 0.0605 | Aggregation time: 0.851
Epoch 17 Accuracy 88.7 | Loss: 0.06 | Aggregation time: 0.904
Epoch 18 Accuracy 88.6 | Loss: 0.0544 | Aggregation time: 0.956
Epoch 19 Accuracy 88.5 | Loss: 0.0566 | Aggregation time: 1.009
Epoch 20 Accuracy 88.7 | Loss: 0.0513 | Aggregation time: 1.063
