Epoch 1 Accuracy 24.5 | Loss: 2.2316 | Aggregation time: 1.229
Epoch 2 Accuracy 26.6 | Loss: 2.1043 | Aggregation time: 2.479
Epoch 3 Accuracy 54.50000000000001 | Loss: 1.6848 | Aggregation time: 3.684
Epoch 4 Accuracy 64.2 | Loss: 1.1187 | Aggregation time: 4.865
Epoch 5 Accuracy 68.4 | Loss: 0.7455 | Aggregation time: 6.053
Epoch 6 Accuracy 86.3 | Loss: 0.5626 | Aggregation time: 7.199
Epoch 7 Accuracy 86.4 | Loss: 0.3471 | Aggregation time: 8.309
Epoch 8 Accuracy 92.9 | Loss: 0.2616 | Aggregation time: 9.432
Epoch 9 Accuracy 91.60000000000001 | Loss: 0.1962 | Aggregation time: 10.59
Epoch 10 Accuracy 94.69999999999999 | Loss: 0.2251 | Aggregation time: 11.734
Epoch 11 Accuracy 93.60000000000001 | Loss: 0.1743 | Aggregation time: 12.922
Epoch 12 Accuracy 95.7 | Loss: 0.1474 | Aggregation time: 14.058
Epoch 13 Accuracy 95.7 | Loss: 0.1202 | Aggregation time: 15.214
Epoch 14 Accuracy 95.3 | Loss: 0.1093 | Aggregation time: 16.386
Epoch 15 Accuracy 96.6 | Loss: 0.1135 | Aggregation time: 17.531
Epoch 16 Accuracy 92.30000000000001 | Loss: 0.1188 | Aggregation time: 18.67
Epoch 17 Accuracy 96.0 | Loss: 0.1261 | Aggregation time: 19.774
Epoch 18 Accuracy 96.0 | Loss: 0.099 | Aggregation time: 20.908
Epoch 19 Accuracy 97.5 | Loss: 0.0864 | Aggregation time: 22.054
Epoch 20 Accuracy 96.2 | Loss: 0.0865 | Aggregation time: 23.172
