Epoch 1 Accuracy 10.100000000000001 | Loss: 16.2576 | Aggregation time: 1.051
Epoch 2 Accuracy 9.8 | Loss: nan | Aggregation time: 2.061
Epoch 3 Accuracy 9.8 | Loss: nan | Aggregation time: 2.814
Epoch 4 Accuracy 9.8 | Loss: nan | Aggregation time: 3.557
Epoch 5 Accuracy 9.8 | Loss: nan | Aggregation time: 4.294
Epoch 6 Accuracy 9.8 | Loss: nan | Aggregation time: 5.04
Epoch 7 Accuracy 9.8 | Loss: nan | Aggregation time: 5.776
Epoch 8 Accuracy 9.8 | Loss: nan | Aggregation time: 6.511
Epoch 9 Accuracy 9.8 | Loss: nan | Aggregation time: 7.257
Epoch 10 Accuracy 9.8 | Loss: nan | Aggregation time: 7.995
Epoch 11 Accuracy 9.8 | Loss: nan | Aggregation time: 8.738
Epoch 12 Accuracy 9.8 | Loss: nan | Aggregation time: 9.481
Epoch 13 Accuracy 9.8 | Loss: nan | Aggregation time: 10.237
Epoch 14 Accuracy 9.8 | Loss: nan | Aggregation time: 10.989
Epoch 15 Accuracy 9.8 | Loss: nan | Aggregation time: 11.752
Epoch 16 Accuracy 9.8 | Loss: nan | Aggregation time: 12.509
Epoch 17 Accuracy 9.8 | Loss: nan | Aggregation time: 13.255
Epoch 18 Accuracy 9.8 | Loss: nan | Aggregation time: 14.01
Epoch 19 Accuracy 9.8 | Loss: nan | Aggregation time: 14.762
Epoch 20 Accuracy 9.8 | Loss: nan | Aggregation time: 15.513
