Epoch 1 Accuracy 9.700000000000001 | Loss: 2.1855 | Aggregation time: 0.051
Epoch 2 Accuracy 31.0 | Loss: 1.8134 | Aggregation time: 0.105
Epoch 3 Accuracy 57.599999999999994 | Loss: 1.1588 | Aggregation time: 0.159
Epoch 4 Accuracy 64.0 | Loss: 0.7068 | Aggregation time: 0.214
Epoch 5 Accuracy 70.5 | Loss: 0.4881 | Aggregation time: 0.264
Epoch 6 Accuracy 73.2 | Loss: 0.4028 | Aggregation time: 0.315
Epoch 7 Accuracy 68.5 | Loss: 0.3631 | Aggregation time: 0.367
Epoch 8 Accuracy 73.8 | Loss: 0.3568 | Aggregation time: 0.417
Epoch 9 Accuracy 82.69999999999999 | Loss: 0.2928 | Aggregation time: 0.469
Epoch 10 Accuracy 84.1 | Loss: 0.2574 | Aggregation time: 0.52
Epoch 11 Accuracy 84.5 | Loss: 0.2467 | Aggregation time: 0.575
Epoch 12 Accuracy 81.89999999999999 | Loss: 0.2473 | Aggregation time: 0.626
Epoch 13 Accuracy 84.6 | Loss: 0.2292 | Aggregation time: 0.678
Epoch 14 Accuracy 84.39999999999999 | Loss: 0.2242 | Aggregation time: 0.731
Epoch 15 Accuracy 84.39999999999999 | Loss: 0.2157 | Aggregation time: 0.782
Epoch 16 Accuracy 85.1 | Loss: 0.2101 | Aggregation time: 0.836
Epoch 17 Accuracy 85.3 | Loss: 0.206 | Aggregation time: 0.888
Epoch 18 Accuracy 85.2 | Loss: 0.2144 | Aggregation time: 0.941
Epoch 19 Accuracy 83.6 | Loss: 0.2007 | Aggregation time: 0.992
Epoch 20 Accuracy 84.6 | Loss: 0.2118 | Aggregation time: 1.044
