Epoch 1 Accuracy 10.7 | Loss: 2.2251 | Aggregation time: 1.351
Epoch 2 Accuracy 17.2 | Loss: 2.088 | Aggregation time: 2.69
Epoch 3 Accuracy 32.1 | Loss: 1.8299 | Aggregation time: 4.06
Epoch 4 Accuracy 41.199999999999996 | Loss: 1.5137 | Aggregation time: 5.473
Epoch 5 Accuracy 59.599999999999994 | Loss: 1.1478 | Aggregation time: 6.912
Epoch 6 Accuracy 55.00000000000001 | Loss: 1.0368 | Aggregation time: 8.379
Epoch 7 Accuracy 70.19999999999999 | Loss: 0.7397 | Aggregation time: 9.857
Epoch 8 Accuracy 78.9 | Loss: 0.6348 | Aggregation time: 11.262
Epoch 9 Accuracy 81.8 | Loss: 0.5526 | Aggregation time: 12.644
Epoch 10 Accuracy 82.89999999999999 | Loss: 0.4346 | Aggregation time: 14.069
Epoch 11 Accuracy 84.2 | Loss: 0.42 | Aggregation time: 15.504
Epoch 12 Accuracy 91.2 | Loss: 0.2968 | Aggregation time: 16.919
Epoch 13 Accuracy 92.10000000000001 | Loss: 0.2041 | Aggregation time: 18.251
Epoch 14 Accuracy 93.7 | Loss: 0.1772 | Aggregation time: 19.562
Epoch 15 Accuracy 94.5 | Loss: 0.1872 | Aggregation time: 20.927
Epoch 16 Accuracy 90.0 | Loss: 0.1918 | Aggregation time: 22.281
Epoch 17 Accuracy 94.6 | Loss: 0.1763 | Aggregation time: 23.605
Epoch 18 Accuracy 94.6 | Loss: 0.1515 | Aggregation time: 24.939
Epoch 19 Accuracy 94.19999999999999 | Loss: 0.1562 | Aggregation time: 26.29
Epoch 20 Accuracy 95.3 | Loss: 0.1372 | Aggregation time: 27.646
