Epoch 1 Accuracy 9.6 | Loss: 2.3089 | Aggregation time: 1.005
Epoch 2 Accuracy 9.6 | Loss: 2.3987 | Aggregation time: 1.967
Epoch 3 Accuracy 9.8 | Loss: 3.7277 | Aggregation time: 2.951
Epoch 4 Accuracy 9.6 | Loss: 4.5967 | Aggregation time: 3.944
Epoch 5 Accuracy 9.6 | Loss: 2.4939 | Aggregation time: 4.927
Epoch 6 Accuracy 9.6 | Loss: 2.6661 | Aggregation time: 5.907
Epoch 7 Accuracy 10.299999999999999 | Loss: 2.9479 | Aggregation time: 6.907
Epoch 8 Accuracy 10.299999999999999 | Loss: 3.6753 | Aggregation time: 7.88
Epoch 9 Accuracy 10.299999999999999 | Loss: 5.4255 | Aggregation time: 8.891
Epoch 10 Accuracy 10.299999999999999 | Loss: 7.12 | Aggregation time: 9.873
Epoch 11 Accuracy 10.299999999999999 | Loss: 7.2327 | Aggregation time: 10.851
Epoch 12 Accuracy 10.299999999999999 | Loss: 6.1573 | Aggregation time: 11.831
Epoch 13 Accuracy 10.299999999999999 | Loss: 5.3004 | Aggregation time: 12.821
Epoch 14 Accuracy 10.299999999999999 | Loss: 4.8991 | Aggregation time: 13.808
Epoch 15 Accuracy 10.299999999999999 | Loss: 4.8427 | Aggregation time: 14.787
Epoch 16 Accuracy 10.299999999999999 | Loss: 4.9256 | Aggregation time: 15.782
Epoch 17 Accuracy 10.299999999999999 | Loss: 4.9389 | Aggregation time: 16.748
Epoch 18 Accuracy 10.299999999999999 | Loss: 5.0301 | Aggregation time: 17.73
Epoch 19 Accuracy 10.299999999999999 | Loss: 5.1946 | Aggregation time: 18.706
Epoch 20 Accuracy 10.299999999999999 | Loss: 5.211 | Aggregation time: 19.614
