Epoch 1 Accuracy 83.39999999999999 | Loss: 1.4539 | Aggregation time: 0.053
Epoch 2 Accuracy 91.7 | Loss: 0.4015 | Aggregation time: 0.104
Epoch 3 Accuracy 94.39999999999999 | Loss: 0.1947 | Aggregation time: 0.154
Epoch 4 Accuracy 95.1 | Loss: 0.1578 | Aggregation time: 0.207
Epoch 5 Accuracy 95.5 | Loss: 0.1408 | Aggregation time: 0.261
Epoch 6 Accuracy 95.8 | Loss: 0.1341 | Aggregation time: 0.317
Epoch 7 Accuracy 96.2 | Loss: 0.1184 | Aggregation time: 0.372
Epoch 8 Accuracy 96.3 | Loss: 0.1135 | Aggregation time: 0.424
Epoch 9 Accuracy 96.39999999999999 | Loss: 0.1078 | Aggregation time: 0.479
Epoch 10 Accuracy 96.6 | Loss: 0.0998 | Aggregation time: 0.532
Epoch 11 Accuracy 96.8 | Loss: 0.0982 | Aggregation time: 0.585
Epoch 12 Accuracy 96.8 | Loss: 0.0917 | Aggregation time: 0.64
Epoch 13 Accuracy 97.1 | Loss: 0.0874 | Aggregation time: 0.694
Epoch 14 Accuracy 97.2 | Loss: 0.0873 | Aggregation time: 0.749
Epoch 15 Accuracy 97.1 | Loss: 0.0823 | Aggregation time: 0.807
Epoch 16 Accuracy 97.2 | Loss: 0.0807 | Aggregation time: 0.861
Epoch 17 Accuracy 97.39999999999999 | Loss: 0.0786 | Aggregation time: 0.913
Epoch 18 Accuracy 97.5 | Loss: 0.0742 | Aggregation time: 0.967
Epoch 19 Accuracy 97.5 | Loss: 0.0718 | Aggregation time: 1.02
Epoch 20 Accuracy 97.5 | Loss: 0.0687 | Aggregation time: 1.075
