Epoch 1 Accuracy 20.9 | Loss: 2.1493 | Aggregation time: 1.253
Epoch 2 Accuracy 10.100000000000001 | Loss: 2.3761 | Aggregation time: 2.5
Epoch 3 Accuracy 10.100000000000001 | Loss: 2.1599 | Aggregation time: 3.756
Epoch 4 Accuracy 9.8 | Loss: 2.3212 | Aggregation time: 5.0
Epoch 5 Accuracy 10.100000000000001 | Loss: 2.4478 | Aggregation time: 6.245
Epoch 6 Accuracy 9.8 | Loss: 2.491 | Aggregation time: 7.502
Epoch 7 Accuracy 9.8 | Loss: 2.4749 | Aggregation time: 8.841
Epoch 8 Accuracy 10.100000000000001 | Loss: 2.5092 | Aggregation time: 10.146
Epoch 9 Accuracy 9.8 | Loss: 2.4959 | Aggregation time: 11.417
Epoch 10 Accuracy 10.100000000000001 | Loss: 2.5206 | Aggregation time: 12.703
Epoch 11 Accuracy 9.8 | Loss: 2.5207 | Aggregation time: 13.965
Epoch 12 Accuracy 9.8 | Loss: 2.5142 | Aggregation time: 15.235
Epoch 13 Accuracy 10.100000000000001 | Loss: 2.5247 | Aggregation time: 16.513
Epoch 14 Accuracy 9.8 | Loss: 2.5422 | Aggregation time: 17.78
Epoch 15 Accuracy 10.100000000000001 | Loss: 2.5347 | Aggregation time: 19.045
Epoch 16 Accuracy 9.8 | Loss: 2.5454 | Aggregation time: 20.3
Epoch 17 Accuracy 10.100000000000001 | Loss: 2.545 | Aggregation time: 21.539
Epoch 18 Accuracy 10.100000000000001 | Loss: 2.5355 | Aggregation time: 22.794
Epoch 19 Accuracy 9.8 | Loss: 2.5641 | Aggregation time: 24.051
Epoch 20 Accuracy 10.100000000000001 | Loss: 2.5711 | Aggregation time: 25.313
