Epoch 1 Accuracy 10.7 | Loss: 2.1931 | Aggregation time: 1.38
Epoch 2 Accuracy 15.1 | Loss: 2.1313 | Aggregation time: 2.729
Epoch 3 Accuracy 18.4 | Loss: 2.1037 | Aggregation time: 4.086
Epoch 4 Accuracy 32.6 | Loss: 2.0283 | Aggregation time: 5.393
Epoch 5 Accuracy 31.6 | Loss: 1.7818 | Aggregation time: 6.789
Epoch 6 Accuracy 27.400000000000002 | Loss: 1.6045 | Aggregation time: 8.214
Epoch 7 Accuracy 34.4 | Loss: 1.6559 | Aggregation time: 9.605
Epoch 8 Accuracy 57.9 | Loss: 1.2949 | Aggregation time: 10.944
Epoch 9 Accuracy 56.8 | Loss: 1.1967 | Aggregation time: 12.395
Epoch 10 Accuracy 63.9 | Loss: 0.9154 | Aggregation time: 13.787
Epoch 11 Accuracy 61.0 | Loss: 0.6563 | Aggregation time: 15.178
Epoch 12 Accuracy 62.0 | Loss: 0.5878 | Aggregation time: 16.586
Epoch 13 Accuracy 71.8 | Loss: 0.4384 | Aggregation time: 17.935
Epoch 14 Accuracy 73.8 | Loss: 0.4277 | Aggregation time: 19.358
Epoch 15 Accuracy 71.89999999999999 | Loss: 0.3555 | Aggregation time: 20.749
Epoch 16 Accuracy 75.2 | Loss: 0.316 | Aggregation time: 22.156
Epoch 17 Accuracy 78.4 | Loss: 0.2694 | Aggregation time: 23.513
Epoch 18 Accuracy 76.4 | Loss: 0.2912 | Aggregation time: 24.912
Epoch 19 Accuracy 81.10000000000001 | Loss: 0.3497 | Aggregation time: 26.322
Epoch 20 Accuracy 75.3 | Loss: 0.25 | Aggregation time: 27.746
