Epoch 1 Accuracy 9.8 | Loss: 2.3297 | Aggregation time: 0.997
Epoch 2 Accuracy 9.8 | Loss: 2.3676 | Aggregation time: 1.97
Epoch 3 Accuracy 9.8 | Loss: 2.3902 | Aggregation time: 2.96
Epoch 4 Accuracy 9.8 | Loss: 2.3928 | Aggregation time: 3.968
Epoch 5 Accuracy 9.8 | Loss: 2.4071 | Aggregation time: 4.976
Epoch 6 Accuracy 10.299999999999999 | Loss: 2.4988 | Aggregation time: 5.962
Epoch 7 Accuracy 10.299999999999999 | Loss: 2.5902 | Aggregation time: 6.942
Epoch 8 Accuracy 10.299999999999999 | Loss: 2.817 | Aggregation time: 7.905
Epoch 9 Accuracy 10.299999999999999 | Loss: 3.6374 | Aggregation time: 8.916
Epoch 10 Accuracy 10.299999999999999 | Loss: 5.4573 | Aggregation time: 9.899
Epoch 11 Accuracy 10.299999999999999 | Loss: 6.9576 | Aggregation time: 10.894
Epoch 12 Accuracy 10.299999999999999 | Loss: 8.544 | Aggregation time: 11.879
Epoch 13 Accuracy 10.299999999999999 | Loss: 10.7818 | Aggregation time: 12.872
Epoch 14 Accuracy 10.299999999999999 | Loss: 13.7389 | Aggregation time: 13.878
Epoch 15 Accuracy 10.299999999999999 | Loss: 17.216 | Aggregation time: 14.863
Epoch 16 Accuracy 10.299999999999999 | Loss: 17.7303 | Aggregation time: 15.847
Epoch 17 Accuracy 10.299999999999999 | Loss: 18.2337 | Aggregation time: 16.808
Epoch 18 Accuracy 10.299999999999999 | Loss: 19.2302 | Aggregation time: 17.831
Epoch 19 Accuracy 10.299999999999999 | Loss: 19.4789 | Aggregation time: 18.812
Epoch 20 Accuracy 10.299999999999999 | Loss: 20.777 | Aggregation time: 19.712
