bias_prob,traitor,aggr,test_acc
0.1,0.2,fltg,0.319
0.1,0.2,fl_trust,0.624
0.1,0.5,fltg,0.425
0.1,0.5,fl_trust,0.47
0.1,0.8,fltg,0.295
0.1,0.8,fl_trust,0.377
0.1,0.9,fltg,0.263
0.1,0.9,fl_trust,0.314
0.1,0.95,fltg,0.316
0.1,0.95,fl_trust,0.1
0.5,0.2,fltg,0.358
0.5,0.2,fl_trust,0.5
0.5,0.5,fltg,0.384
0.5,0.5,fl_trust,0.448
0.5,0.8,fltg,0.214
0.5,0.8,fl_trust,0.456
0.5,0.9,fltg,0.283
0.5,0.9,fl_trust,0.213
0.5,0.95,fltg,0.256
0.5,0.95,fl_trust,0.1
0.8,0.2,fltg,0.222
0.8,0.2,fl_trust,0.208
0.8,0.5,fltg,0.209
0.8,0.5,fl_trust,0.225
0.8,0.8,fltg,0.25
0.8,0.8,fl_trust,0.168
0.8,0.9,fltg,0.297
0.8,0.9,fl_trust,0.111
0.8,0.95,fltg,0.266
0.8,0.95,fl_trust,0.1
0.1,0.0,avg_no_attack,0.709
0.5,0.0,avg_no_attack,0.621
0.8,0.0,avg_no_attack,0.349
