bias_prob,traitor,aggr,test_acc
0.1,0.2,fltg,0.629
0.1,0.2,fl_trust,0.608
0.1,0.5,fltg,0.414
0.1,0.5,fl_trust,0.615
0.1,0.8,fltg,0.34
0.1,0.8,fl_trust,0.404
0.1,0.9,fltg,0.307
0.1,0.9,fl_trust,0.346
0.1,0.95,fltg,0.386
0.1,0.95,fl_trust,0.1
0.5,0.2,fltg,0.277
0.5,0.2,fl_trust,0.255
0.5,0.5,fltg,0.244
0.5,0.5,fl_trust,0.311
0.5,0.8,fltg,0.164
0.5,0.8,fl_trust,0.323
0.5,0.9,fltg,0.201
0.5,0.9,fl_trust,0.1
0.5,0.95,fltg,0.352
0.5,0.95,fl_trust,0.1
0.8,0.2,fltg,0.189
0.8,0.2,fl_trust,0.157
0.8,0.5,fltg,0.159
0.8,0.5,fl_trust,0.1
0.8,0.8,fltg,0.114
0.8,0.8,fl_trust,0.1
0.8,0.9,fltg,0.321
0.8,0.9,fl_trust,0.1
0.8,0.95,fltg,0.286
0.8,0.95,fl_trust,0.1
0.1,0.0,avg_no_attack,0.668
0.5,0.0,avg_no_attack,0.49
0.8,0.0,avg_no_attack,0.526
