bias_prob,traitor,aggr,test_acc
0.1,0.2,fltg,0.921
0.1,0.2,fl_trust,0.943
0.1,0.5,fltg,0.509
0.1,0.5,fl_trust,0.758
0.1,0.8,fltg,0.236
0.1,0.8,fl_trust,0.091
0.1,0.9,fltg,0.447
0.1,0.9,fl_trust,0.699
0.1,0.95,fltg,0.832
0.1,0.95,fl_trust,0.924
0.5,0.2,fltg,0.745
0.5,0.2,fl_trust,0.804
0.5,0.5,fltg,0.739
0.5,0.5,fl_trust,0.816
0.5,0.8,fltg,0.724
0.5,0.8,fl_trust,0.835
0.5,0.9,fltg,0.669
0.5,0.9,fl_trust,0.833
0.5,0.95,fltg,0.46
0.5,0.95,fl_trust,0.774
0.8,0.2,fltg,0.351
0.8,0.2,fl_trust,0.552
0.8,0.5,fltg,0.443
0.8,0.5,fl_trust,0.479
0.8,0.8,fltg,0.443
0.8,0.8,fl_trust,0.417
0.8,0.9,fltg,0.445
0.8,0.9,fl_trust,0.697
0.8,0.95,fltg,0.097
0.8,0.95,fl_trust,0.555
0.1,0.0,avg_no_attack,0.95
0.5,0.0,avg_no_attack,0.95
0.8,0.0,avg_no_attack,0.955
