bias_prob,traitor,aggr,test_acc
0.1,0.2,fltg,0.977
0.1,0.2,fl_trust,0.976
0.1,0.5,fltg,0.879
0.1,0.5,fl_trust,0.972
0.1,0.8,fltg,0.927
0.1,0.8,fl_trust,0.95
0.1,0.9,fltg,0.101
0.1,0.9,fl_trust,0.919
0.1,0.95,fltg,0.767
0.1,0.95,fl_trust,0.942
0.5,0.2,fltg,0.958
0.5,0.2,fl_trust,0.942
0.5,0.5,fltg,0.958
0.5,0.5,fl_trust,0.915
0.5,0.8,fltg,0.599
0.5,0.8,fl_trust,0.896
0.5,0.9,fltg,0.927
0.5,0.9,fl_trust,0.945
0.5,0.95,fltg,0.941
0.5,0.95,fl_trust,0.942
0.8,0.2,fltg,0.879
0.8,0.2,fl_trust,0.86
0.8,0.5,fltg,0.903
0.8,0.5,fl_trust,0.843
0.8,0.8,fltg,0.901
0.8,0.8,fl_trust,0.932
0.8,0.9,fltg,0.906
0.8,0.9,fl_trust,0.943
0.8,0.95,fltg,0.376
0.8,0.95,fl_trust,0.919
0.1,0.0,avg_no_attack,0.98
0.5,0.0,avg_no_attack,0.98
0.8,0.0,avg_no_attack,0.98
