bias_prob,traitor,aggr,test_acc
0.1,0.2,fltg,0.261
0.1,0.2,fl_trust,0.232
0.1,0.5,fltg,0.276
0.1,0.5,fl_trust,0.241
0.1,0.8,fltg,0.172
0.1,0.8,fl_trust,0.223
0.1,0.95,fltg,0.229
0.1,0.95,fl_trust,0.244
0.5,0.2,fltg,0.102
0.5,0.2,fl_trust,0.1
0.5,0.5,fltg,0.101
0.5,0.5,fl_trust,0.1
0.5,0.8,fltg,0.1
0.5,0.8,fl_trust,0.1
0.5,0.95,fltg,0.115
0.5,0.95,fl_trust,0.1
0.8,0.2,fltg,0.1
0.8,0.2,fl_trust,0.1
0.8,0.5,fltg,0.1
0.8,0.5,fl_trust,0.1
0.8,0.8,fltg,0.1
0.8,0.8,fl_trust,0.1
0.8,0.95,fltg,0.1
0.8,0.95,fl_trust,0.1
0.1,0.0,avg_no_attack,0.223
0.5,0.0,avg_no_attack,0.229
0.8,0.0,avg_no_attack,0.179
